resource_title,volume,issue,resource_type,location,address,city,state,country,source_publication,description
Sisters in Oppression,1,3,Listing,NA,NA,NA,NA,NA,NA,"ad for pamphlet by Karen Burt, 10 cents from WLBP"
The Small Group: Three Articles,1,3,Listing,NA,NA,NA,NA,NA,NA,"ad for pamphlet by Pam Allen, Lyn O'Conner, and Liz Bunding - 15 cents from WLBP - new pamphlet, never before available"
I am Furious (Female),1,3,Listing,New University Women's Caucus,NA,NA,NA,NA,NA,ad for pamphlet by New University Women's Caucus - 25 cents from WLBP - excellent political analysis of WL
The Radical Feminist Position,1,3,Listing,Vancouver Women's Caucus,NA,Vancouver,BC,CAN,NA,ad for pamphlet by Jean Rands - 10 cents from Vancouver Women's Caucus
McGill Birth Control Handbook,1,3,"Listing,Reproductive Healthcare",McGill University,NA,Vancouver,BC,CAN,NA,ad for pamphlet from McGill University - free from Vancouver Women's Caucus - 12 cents for postage
Programs and Structure,1,3,Listing,NA,2940 36th South,Seattle,WA,USA,NA,ad for pamphlet by Seattle Radical Women
Seattle Women Speak Out,1,3,Listing,NA,NA,Seattle,WA,USA,NA,ad for pamphlet - reprint of Seattle Post Intelligencer Series on Women's Liberation Movement - 25 cents from above address
Granma,1,3,Bookstore,Granma,Telegraph Ave,Berkeley,CA,USA,NA,"ad for bookstore where women's liberation literature can be found in fairy large supply
"
Up Haste,1,3,Bookstore,Up Haste,Haste St. ,Berkeley,CA,USA,NA,"ad for bookstore where women's liberation literature can be found in fairy large supply
"
Pioneer,1,3,Bookstore,Pioneer,Market,San Francisco,CA,USA,NA,"ad for bookstore where women's liberation literature can be found in fairy large supply
"
Babe Help Wanted,1,3,Listing,NA,PO Box 6323,Albany,CA,USA,NA,"listing for help with collecting articles or write-ins as well as money and help with layout, typing, and distribution"
Women's History Synopsis,1,3,"Listing,Bookstore",Spazm,2325 Oak ,Berkeley,CA,USA,NA,"ad for Women's History Synopsis, now available at Spazm for $1"
Request for Input on D.A.R. II Survival Manual,1,4,Listing,D.A.R. II,433 J St,San Diego,CA,USA,NA,"request for tips, articles, and info regarding topics on all aspects of a woman's life for all women to create a survival manual"
Riverside Coffee House or Bookstore,1,4,Listing,NA,NA,Riverside,CA,USA,NA,listing for interested parties to assist women in Riverside interested in starting a book store or coffee house for the community
L.A. Women's Center,1,4,Organization,Women's Center,1027 S Crenshaw,Los Angeles,CA,USA,NA,announcement of opening of women's center as umbrella organization for female liberation groups to utilize
Off Our Backs,1,4,Listing,Off Our Backs,2318 Ashmead Place NW,NA,DC,USA,NA,"listing for women in DC trying to put together newspaper - needing help in form of articles, stories, reports, information, powems, graphics, etc - $6 for subscription"
Apprentice Programs for Skilled Trades,1,5,Courses,NA,NA,Berkeley,CA,USA,NA,ad for 3 women (with addresses) setting up apprentice programs for women in various trades 
Babe Help Wanted,1,6,Listing,NA,NA,Berkeley,CA,USA,NA,listing for position helping distribute Babe
Up Haste,1,6,Bookstore,Up Haste,2506 B Haste,Berkeley,CA,USA,NA,ad for bookstore with 1/2 of inventory by women
East Bay Feminists,1,6,Organization,NA,NA,NA,CA,USA,NA,new organization formed in response to article in Babe #5 - weekly meetings and projects focused on a women's center and WITCH - phone number for addtional info
Babe Help Wanted,1,6,Listing,NA,PO Box 6323,Albany,CA,USA,NA,listing for financial and advertising positions at Babe
Survival Course,1,6,Courses,NA,1914 Polk St Suite 205,San Francisco,CA,USA,NA,"""Unwed mother"" Jolene Dorr putting together survival course"
Karate Classes,2,1,Courses,NA,NA,NA,CA,USA,NA,"listing for Karate classes on Mon, Tues, and Thurs - phone number for additional information"
Women's Table at Glide,2,1,Listing,Glide Church,NA,NA,CA,USA,NA,listing requesting women to work at table distributing literature at Glide 
